r.id  r.timeCall  r.pickupLocationID r.deliveryLocationID  r.earlyPickupTime  r.latePickupTime  r.earlyDeliveryTime  r.lateDeliveryTime  r.maxTravelDistance  r.maxNbStops
178000 10 2648 128753 10 910 10 2746 4216.557642261768 5
67150 14 16923 8238 14 914 14 2752 4470.366702638623 5
81988 19 5837 68689 19 919 19 2939 26293.48699532139 5
201472 24 15531 95434 24 924 24 2741 2039.037784419464 5
43911 26 85360 4739 26 926 26 2765 4657.440980308113 5
241609 47 7978 513 47 947 47 2774 3211.999438022237 5
60530 72 9903 13208 72 972 72 2803 3699.125603570237 5
236600 85 4086 56374 85 985 85 2807 2579.838611040052 5
200788 88 78575 5454 88 988 88 2838 5940.033654814401 5
53440 99 62208 11950 99 999 99 3177 45264.88957139846 5
79030 104 3920 7882 104 1004 104 2848 5239.091893255937 5
69660 112 13215 7685 112 1012 112 2838 3088.6725363853234 5
323480 128 5792 3163 128 1028 128 2869 4858.854207367454 5
308016 140 13617 130090 140 1040 140 2911 8482.726413043263 5
209064 145 77416 57266 145 1045 145 2876 3635.8576840073383 5
329368 153 16303 9434 153 1053 153 2896 5116.6840453149825 5
83957 156 4245 104183 156 1056 156 2903 5574.226967366861 5
183366 159 62157 18274 159 1059 159 3164 36544.46508860046 5
103960 162 121435 10058 162 1062 162 2902 4761.253487646811 5
331785 165 10269 64183 165 1065 165 2920 6539.299267063403 5
81066 168 3510 5454 168 1068 168 2913 5290.922671122522 5
126279 178 3135 9889 178 1078 178 2936 6927.0087308103075 5
110485 193 7645 73365 193 1093 193 2915 2604.2423233068757 5
244119 195 117114 11965 195 1095 195 2944 5860.2980328291505 5
18791 205 15631 10100 205 1105 205 2972 8035.260243432811 5
225886 212 2122 65495 212 1112 212 2962 5912.100783163295 5
11470 217 80610 11509 217 1117 217 2962 5328.019729545061 5
108456 221 10533 9113 221 1121 221 2970 5762.240683705321 5
13554 224 83330 127605 224 1124 224 2995 8512.644225106009 5
92247 236 14069 6783 236 1136 236 2963 3180.3799355809356 5
257113 248 96984 4080 248 1148 248 2969 2460.614713870601 5
247765 250 5571 95049 250 1150 250 3039 10623.247574208253 5
222142 257 87633 12974 257 1157 257 2982 2940.952372739471 5
87831 270 91499 36311 270 1170 270 3026 6694.153359784496 5
240217 273 85092 8910 273 1173 273 2993 2325.5290297208335 5
180642 275 6376 11509 275 1175 275 3065 10760.674656044712 5
248461 303 7085 11436 303 1203 303 3021 2146.072991134852 5
312852 306 6153 70417 306 1206 306 3095 10590.076333336572 5
121011 312 483 7655 312 1212 312 3060 5720.303779629717 5
42157 319 14799 120268 319 1219 319 3081 7321.823035728937 5
112462 321 129903 10169 321 1221 321 3071 5982.606194636798 5
299357 327 35755 117797 327 1227 327 3125 11703.361128165523 5
290035 336 12177 10469 336 1236 336 3077 4815.923113695271 5
64272 347 7104 10353 347 1247 347 3101 6450.436934941108 5
169865 367 11843 130752 367 1267 367 3092 2949.315849116247 5
336895 384 2658 109594 384 1284 384 3479 47294.96331287736 5
182488 387 3921 10568 387 1287 387 3171 10030.419871450516 5
203451 389 107155 7886 389 1289 389 3135 5417.449032439345 5
94999 396 88230 111724 396 1296 396 3506 49106.83567380653 5
236038 409 10164 1431 409 1309 409 3127 2138.6170291662115 5
116397 414 8551 100427 414 1314 414 3163 5791.203171870937 5
98429 417 8551 128753 417 1317 417 3162 5346.465083789997 5
216170 421 9837 12362 421 1321 421 3185 7679.302410931477 5
333665 427 62023 5785 427 1327 427 3493 43821.80723023577 5
45354 433 100509 3210 433 1333 433 3242 13006.628807960207 5
287556 443 5468 13628 443 1343 443 3174 3658.227298017296 5
329756 448 11370 10258 448 1348 448 3187 4591.437735832302 5
323098 453 8354 12598 453 1353 453 3180 3164.2321539128225 5
41709 472 5454 11304 472 1372 472 3227 6551.769649972835 5
205728 479 98640 7655 479 1379 479 3212 3898.187779683886 5
332620 488 15367 7104 488 1388 488 3309 14502.088112664775 5
324315 509 12410 91527 509 1409 509 3232 2711.4210038130254 5
161935 518 4104 109714 518 1418 518 3288 8323.503108290484 5
67706 521 36212 3376 521 1421 521 3246 2965.170855287915 5
140834 533 65355 6887 533 1433 533 3268 4170.180953188801 5
123566 544 100428 16911 544 1444 544 3270 3022.0485189212864 5
84592 552 67967 7202 552 1452 552 3300 5732.423398223967 5
291496 561 6016 3512 561 1461 561 3319 6875.173120896137 5
124188 567 62211 86215 567 1467 567 3617 41934.94894566228 5
272663 574 128677 44474 574 1474 574 3355 9687.792617792149 5
196470 584 9488 96651 584 1484 584 3306 2600.115234343312 5
10890 597 7648 4227 597 1497 597 3344 5570.848908169727 5
200130 609 87638 16532 609 1509 609 3362 6264.8356244508495 5
52274 620 105662 3620 620 1520 620 3443 14664.30920391188 5
119941 626 109465 6722 626 1526 626 3690 43647.86655430404 5
51468 633 7880 11301 633 1533 633 3379 5480.362472281881 5
319884 638 3137 87624 638 1538 638 3416 9315.05287550471 5
302206 645 129339 16703 645 1545 645 3393 5752.058153237741 5
213458 647 11301 8934 647 1547 647 3389 5012.183217577858 5
43912 649 65759 91439 649 1549 649 3391 4944.386285337308 5
29626 654 9903 35759 654 1554 654 3378 2871.8207909619578 5
69661 661 121136 87642 661 1561 661 3440 9389.91963440769 5
229570 665 107199 11509 665 1565 665 3384 2163.55438283182 5
295807 668 85393 14807 668 1568 668 3391 2707.927628085599 5
83958 683 13196 85463 683 1583 683 3431 5750.290613071931 5
74435 690 68793 85402 690 1590 690 3408 2048.5167974160213 5
157113 704 53538 87453 704 1604 704 3469 7726.2135367167275 5
81546 713 641 10098 713 1613 713 3484 8417.533631210663 5
122302 715 4076 6087 715 1615 715 3563 17716.559182010278 5
625 728 10350 2787 728 1628 728 3495 7943.366292149628 5
15761 730 95423 85362 730 1630 730 3479 5827.745285274991 5
199484 734 15673 11509 734 1634 734 3501 7964.833412441862 5
324316 736 91527 2844 736 1636 736 3490 6442.824901654916 5
101846 757 12274 7148 757 1657 757 3493 4270.539563736187 5
18792 763 9366 8552 763 1663 763 3507 5202.251024214633 5
137677 770 16306 16304 770 1670 770 3492 2590.8058194920777 5
296501 772 3117 43189 772 1672 772 3521 5766.770296685103 5
195149 780 3117 14804 780 1680 780 3504 2821.3787573988548 5
340881 785 12222 7880 785 1685 785 3523 4504.6588868389235 5
24409 790 33522 64492 790 1690 790 3682 22952.141381272762 5
238480 815 102009 87643 815 1715 815 3572 6751.559485520186 5
212749 817 4245 13205 817 1717 817 3553 4306.449848648817 5
268220 828 4243 6890 828 1728 828 3585 6782.082445393718 5
67707 839 100355 125992 839 1739 839 3615 9065.577516337067 5
67151 861 10161 8307 861 1761 861 3617 6714.483154702492 5
12162 871 96651 85442 871 1771 871 3629 6940.897241988362 5
8339 875 11421 7567 875 1775 875 3707 15722.930969148923 5
47077 912 62173 14796 912 1812 912 3986 44768.860398171935 5
222143 921 4743 9562 921 1821 921 3690 8238.645027359125 5
145363 924 6799 17664 924 1824 924 3674 5915.144268657292 5
204278 930 88474 14801 930 1830 930 3650 2351.0104683991535 5
