Period TotalPp PpAccepted Percent
0 257 256 99
1 226 226 100
2 225 225 100
3 180 180 100
4 182 180 98
5 172 172 100
6 201 201 100
7 197 197 100
8 191 189 98
9 152 151 99
10 114 112 98
11 89 87 97
12 77 77 100
13 48 48 100
14 43 43 100
15 49 49 100
16 43 43 100
17 48 48 100
18 44 44 100
19 47 46 97
20 43 43 100
21 61 61 100
22 59 58 98
23 61 61 100
24 61 60 98
25 73 73 100
26 100 99 99
27 80 78 97
28 94 94 100
29 133 129 96
30 120 118 98
31 148 146 98
32 163 156 95
33 170 159 93
34 203 194 95
35 231 225 97
36 230 225 97
37 203 186 91
38 187 179 95
39 193 184 95
40 183 169 92
41 204 175 85
42 190 168 88
43 188 169 89
44 203 185 91
45 182 160 87
46 191 172 90
47 213 201 94
48 169 158 93
49 194 180 92
50 170 157 92
51 207 186 89
52 211 195 92
53 190 179 94
54 201 189 94
55 227 224 98
56 197 195 98
57 192 191 99
58 207 206 99
59 212 210 99
60 194 193 99
61 189 189 100
62 190 190 100
63 172 172 100
64 193 193 100
65 162 161 99
66 209 208 99
67 208 208 100
68 195 194 99
69 230 229 99
70 233 232 99
71 245 244 99
72 274 274 100
73 305 303 99
74 287 283 98
75 276 276 100
76 306 302 98
77 322 321 99
78 352 352 100
79 336 336 100
80 321 0 0
81 292 0 0
82 304 0 0
83 275 0 0
84 297 0 0
85 293 0 0
86 299 0 0
87 287 0 0
88 315 0 0
89 294 0 0
90 314 0 0
91 298 0 0
92 315 0 0
93 282 0 0
94 277 0 0
95 239 0 0
Average of percentage: 80
