Period TotalPp PpAccepted Percent
0 244 211 86
1 245 223 91
2 204 187 91
3 202 190 94
4 198 186 93
5 199 175 87
6 186 177 95
7 232 214 92
8 198 185 93
9 162 154 95
10 98 89 90
11 69 59 85
12 68 58 85
13 63 56 88
14 51 42 82
15 45 39 86
16 33 27 81
17 54 43 79
18 53 48 90
19 54 46 85
20 52 43 82
21 54 39 72
22 70 55 78
23 66 51 77
24 81 70 86
25 76 66 86
26 78 70 89
27 117 70 59
28 85 67 78
29 128 99 77
30 160 137 85
31 175 144 82
32 140 118 84
33 187 133 71
34 183 133 72
35 197 163 82
36 197 155 78
37 194 112 57
38 204 126 61
39 211 146 69
40 179 105 58
41 168 82 48
42 211 107 50
43 182 101 55
44 188 121 64
45 209 132 63
46 189 117 61
47 211 141 66
48 200 143 71
49 181 120 66
50 213 167 78
51 195 145 74
52 189 149 78
53 212 186 87
54 220 192 87
55 218 185 84
56 198 177 89
57 220 200 90
58 171 148 86
59 210 191 90
60 200 182 91
61 187 168 89
62 188 167 88
63 198 188 94
64 203 188 92
65 176 163 92
66 187 167 89
67 188 174 92
68 204 182 89
69 239 218 91
70 241 221 91
71 266 237 89
72 258 232 89
73 302 288 95
74 287 268 93
75 334 299 89
76 320 301 94
77 330 297 90
78 316 297 93
79 362 342 94
80 319 0 0
81 266 0 0
82 291 0 0
83 343 0 0
84 308 0 0
85 294 0 0
86 308 0 0
87 317 0 0
88 321 0 0
89 338 0 0
90 307 0 0
91 296 0 0
92 294 0 0
93 286 0 0
94 287 0 0
95 252 0 0
Average of percentage: 68
