Period TotalPp PpAccepted Percent
0 217 217 100
1 233 231 99
2 260 260 100
3 197 197 100
4 202 202 100
5 190 190 100
6 184 184 100
7 213 213 100
8 186 186 100
9 138 138 100
10 119 119 100
11 93 93 100
12 71 71 100
13 50 50 100
14 46 46 100
15 57 57 100
16 48 48 100
17 45 45 100
18 50 50 100
19 56 56 100
20 57 57 100
21 52 52 100
22 60 60 100
23 89 89 100
24 70 70 100
25 79 78 98
26 116 116 100
27 104 104 100
28 99 99 100
29 113 113 100
30 133 133 100
31 170 170 100
32 179 179 100
33 171 171 100
34 188 187 99
35 173 173 100
36 184 184 100
37 214 210 98
38 189 188 99
39 190 190 100
40 177 164 92
41 208 198 95
42 197 179 90
43 199 197 98
44 187 168 89
45 198 197 99
46 191 177 92
47 237 236 99
48 204 203 99
49 206 206 100
50 213 212 99
51 211 211 100
52 209 190 90
53 206 191 92
54 189 188 99
55 195 195 100
56 198 198 100
57 194 194 100
58 167 167 100
59 190 190 100
60 208 208 100
61 198 197 99
62 196 196 100
63 206 206 100
64 191 191 100
65 193 193 100
66 184 184 100
67 202 202 100
68 186 186 100
69 228 228 100
70 248 248 100
71 256 256 100
72 249 249 100
73 290 290 100
74 310 310 100
75 278 278 100
76 309 309 100
77 312 312 100
78 315 315 100
79 299 299 100
80 319 260 81
81 299 0 0
82 290 0 0
83 289 0 0
84 318 0 0
85 308 0 0
86 285 0 0
87 283 0 0
88 320 0 0
89 327 0 0
90 301 0 0
91 297 0 0
92 305 0 0
93 282 0 0
94 278 0 0
95 251 0 0
Average of percentage: 83
