Day TotalReq nReqInPopularArea Percentage
1 12335 11036 89
2 11535 10469 90
3 13292 12110 91
4 13347 12126 90
5 14421 12970 89
6 16458 14769 89
7 16476 14775 89
8 10331 9090 87
9 8295 7355 88
10 12599 11369 90
11 13568 12315 90
12 15347 13907 90
13 15145 13513 89
15 4381 4035 92
16 10979 9829 89
18 1306 1148 87
19 1025 936 91
20 768 622 80
21 3957 3670 92
22 1088 910 83
23 1009 797 78
24 12 11 91
25 11148 9912 88
26 13882 12464 89
27 16361 14669 89
28 16799 15014 89
29 10383 9262 89
30 10807 9691 89
31 11287 10170 90
Percentage of the popular: 82
