Day TotalReq nReqInPopularArea Percentage
1 12335 12176 98
2 11535 11418 98
3 13292 13186 99
4 13347 13230 99
5 14421 14259 98
6 16458 16331 99
7 16476 16390 99
8 10331 10211 98
9 8295 8169 98
10 12599 12494 99
11 13568 13461 99
12 15347 15184 98
13 15145 15001 99
15 4381 4376 99
16 10979 10865 98
18 1306 1297 99
19 1025 1018 99
20 768 757 98
21 3957 3943 99
22 1088 1057 97
23 1009 974 96
24 12 12 100
25 11148 11009 98
26 13882 13740 98
27 16361 16231 99
28 16799 16718 99
29 10383 10256 98
30 10807 10691 98
31 11287 11178 99
Percentage of the popular: 92
